Content Weight,Collaborative Weight,K,Average Similarity,Intra-List Diversity,Catalog Coverage,Songs Evaluated,Execution Time
0.8,0.2,5,0.8356678730518724,0.29611954619784125,0.007942811755361398,500,60.2182981967926
0.8,0.2,10,0.8375846075643661,0.28764461853111734,0.01581836583053627,500,60.2182981967926
0.8,0.2,20,0.8352998036284143,0.2903561470302962,0.03140613390043301,500,60.2182981967926
0.6,0.4,5,0.8356678730518724,0.29611954619784125,0.007942811755361398,500,60.105541467666626
0.6,0.4,10,0.8375846075643661,0.28764461853111734,0.01581836583053627,500,60.105541467666626
0.6,0.4,20,0.8352998036284143,0.2903561470302962,0.03140613390043301,500,60.105541467666626
0.5,0.5,5,0.8339360073888804,0.2989509934376688,0.007942811755361398,500,65.07491254806519
0.5,0.5,10,0.8369165794760619,0.28877077921735017,0.01581836583053627,500,65.07491254806519
0.5,0.5,20,0.8349702115831866,0.2907888151590293,0.03138051192702862,500,65.07491254806519
0.4,0.6,5,0.8295917633830767,0.3042635737531862,0.00793960900868585,500,68.06375002861023
0.4,0.6,10,0.8343489815445353,0.29256293482098167,0.01581836583053627,500,68.06375002861023
0.4,0.6,20,0.8337126563700106,0.2928634127502389,0.031354889953624225,500,68.06375002861023
0.2,0.8,5,0.8202187174501739,0.30792034178145616,0.00793320351533475,500,59.9618136882782
0.2,0.8,10,0.8251058856295058,0.30021075199891256,0.015792743857131877,500,59.9618136882782
0.2,0.8,20,0.8267143915099835,0.3002639636623784,0.031188347126495684,500,59.9618136882782
